<<<<<<< HEAD
,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
0,夏日多巴胺 | 分泌快乐因子 释放自由心情,2024-08-14,266829,658,11,1,40,nan nan nan
1,唯美国风韵 | 如听仙乐耳暂明,2024-11-26,1184707,4023,24,44,80,nan nan nan
2,重返2001 | 从孙燕姿开始聆听精彩2001,2021-07-06,1336309,9452,49,21,106,nan nan nan
3,旧日金曲漫步 | 那些年一起听的歌 还记得吗,2019-05-31,6659379,49216,352,633,30,nan nan nan
4,心情起飞 | 旋律在耳 让好心情原地起飞,2025-05-13,156459,460,3,3,50,nan nan nan
5,女声试音必备 | 超好听的极致女声盛宴,2023-06-15,416188,3366,9,7,67,nan nan nan
6,今日全网热门 | 精选优质爆火歌曲等你来听,2024-04-16,394222,845,1,2,454,nan nan nan
7,全世界失眠 | 把心事藏进歌里 用俄语诉说思念,2022-07-13,1583493,8954,112,42,70,nan nan nan
8,宿命感KPop | 直击灵魂 酣畅淋漓的听觉盛宴,2025-03-03,76087,2001,7,3,60,nan nan nan
9,夏日甜品站 | 点击获取糖度满分的夏日甜品菜单,2023-06-21,155547,893,20,3,50,nan nan nan
10,KPop治愈解药 | 低谷期的救赎 让音乐抱抱你吧,2025-05-15,140279,494,6,4,60,nan nan nan
11,YG娱乐 | 独树一帜的韩流缔造者,2023-03-27,324700,8787,32,7,80,nan nan nan
12,KPop练舞室 | 音乐响起 你就是idol,2022-06-10,6213472,45499,411,196,30,nan nan nan
13,驾车听KPop | 跟随KPop感受微风的轻抚,2024-03-01,147911,947,10,1,60,nan nan nan
14,记忆之声 | CD里的经典年代,2021-07-06,1696269,9974,56,16,91,nan nan nan
15,夏日游乐园 | 夏季的甜蜜欢快小心绪,2023-06-21,315871,1764,13,5,59,nan nan nan
16,夏日欧美 | 炎炎夏日的解暑热单,2023-05-19,297813,1357,21,4,151,nan nan nan
17,KTV聚会 | 经典KPop唱不停,2024-01-12,103337,303,3,2,80,nan nan nan
18,夏日华语 | 美好夏日 奔向海边,2023-05-19,2092427,7353,49,10,84,nan nan nan
19,听张学友热门精选,2022-10-18,6227706,22150,188,76,30,nan nan nan
20,UK流行热单 | 近10年热门欧美热单听我的,2023-02-06,1630827,10745,49,24,30,nan nan nan
21,重返1999 | 从莫文蔚阴天开始回顾1999经典,2021-09-06,976196,6020,31,10,106,nan nan nan
22,欧美流行专属,2024-11-25,1718033,4999,72,10,30,nan nan nan
23,2014伤感热播 | 和林俊杰一起拾起2014遗憾碎片,2025-09-16,72836,629,1,1,60,nan nan nan
24,欧美热播2018 | 和断眉一起回顾2018流行浪潮,2024-06-20,387472,1912,8,6,59,nan nan nan
25,华语流行Hi-Res | 热门华语歌曲随身听,2023-08-04,3438889,17663,64,15,58,nan nan nan
26,韩语热歌精选 | aespa《Whiplash》强势登顶,2024-04-10,319439,4527,21,8,76,nan nan nan
27,青少年流行 | 童声活泼演绎流行好歌,2020-08-04,2195245,23529,133,117,166,nan nan nan
28,KTV必唱金曲 | 经典流行 陪你畅歌一整天,2024-03-14,1641072,8979,91,11,110,nan nan nan
29,冬日欧美 | 为你唱响冬日的歌,2023-11-30,478047,1424,5,4,50,nan nan nan
30,华语音综专属,2024-11-25,77186,2563,2,1,30,nan nan nan
31,Sad Girls | 绵言细语里的深情,2023-03-13,890566,4050,56,18,82,nan nan nan
32,心动圣诞夜 | 让比伯开启圣诞夜的浪漫心动,2022-12-19,861091,4543,71,50,72,nan nan nan
33,2024伤感热播 | 和周深一起回望2024的那些遗憾,2025-02-27,301632,3245,3,3,66,nan nan nan
34,中频试音专用 | 发烧级中频试音碟,2023-05-30,111449,920,5,2,59,nan nan nan
35,1990s欧美热播 | 从玛丽亚·凯莉开始回顾1990年代欧美金曲,2025-03-03,853657,1384,14,3,201,nan nan nan
36,一起聚餐吧 | 和朋友一起享受美食盛宴,2023-04-27,290869,1197,24,11,60,nan nan nan
37,夏日回忆 | 在熟悉的旋律中回到怀念的日子,2024-07-24,96345,395,5,6,80,nan nan nan
38,闽南妙音 | 质而不俚的方言韵味,2021-03-30,225992,1422,26,7,56,nan nan nan
39,圣诞经典流行 | 牛姐带你开启圣诞,2022-12-19,1577819,6786,186,127,59,nan nan nan
40,专治不开心 | 恢复能量 好心情从现在开始,2023-04-27,2919179,15177,181,57,70,nan nan nan
41,KPop浪漫时光 | 编织无尽爱意 享受无限浪漫,2024-10-12,109724,881,5,5,80,nan nan nan
42,韩剧OST Top100 | 最热门韩剧原声带100首大合集,2025-01-16,509580,3157,29,1,100,nan nan nan
43,"宝岛华语流行 | 椅子乐团,郭静,许含光领衔带来宝岛新鲜歌曲",2020-12-25,5497082,11232,258,116,144,nan nan nan
44,重返2011 | 从陈奕迅开始回顾2011经典热单,2023-06-21,927162,7268,18,8,99,nan nan nan
45,雨天漫步 | 在浪漫的雨天听KPop,2023-03-16,559106,4015,52,20,79,nan nan nan
46,2024宝岛热播 | 从韦礼安开始畅听2024宝岛热歌,2024-12-30,198364,1240,7,2,79,nan nan nan
47,重返2015 | 从林俊杰开启2015聆听之旅,2023-06-21,492002,6176,13,6,100,nan nan nan
48,通勤KPop | KPop陪你快乐上下班,2023-03-07,1223480,5600,41,28,100,nan nan nan
49,韩剧回忆录 | 承包你的热门韩剧回忆,2023-03-22,499283,3618,15,14,80,nan nan nan
50,2025全英音乐奖 | 获奖提名全收录 洗茶Charli xcx成最大赢家,2024-01-26,500837,2415,39,30,79,nan nan nan
51,高燃KPop | 肾上腺素狂飙的超燃节奏 提神运动健身必备,2025-03-20,193259,656,10,4,80,nan nan nan
52,被翻唱韩语盘点 | 原来这些华语金曲都是翻唱的韩国歌,2025-04-02,26353,650,16,1,50,nan nan nan
53,驾车听J-Pop | 沿路寻找霓虹般的风景,2023-12-28,176521,1737,5,9,71,nan nan nan
54,欧美热播2017 | Ed Sheeran带你重温经典旋律,2024-06-20,331931,1447,14,2,61,nan nan nan
55,打游戏听J-Pop | 活力满满 畅玩不停,2024-07-29,88981,3166,3,3,70,nan nan nan
56,英国官方榜年中最佳单曲 | 速戳！2025上半年热单全收录,2025-07-24,94533,349,8,1,40,nan nan nan
57,2025全英音乐奖 | 获奖提名全收录 洗茶Charli xcx成最大赢家,2024-01-26,500837,2415,39,30,79,nan nan nan
58,重返1999 | 从莫文蔚阴天开始回顾1999经典,2021-09-06,976196,6020,31,10,106,nan nan nan
59,嗨唱KTV | KPop人不可错过的KTV必唱清单,2024-10-30,157843,726,9,7,70,nan nan nan
60,2013伤感热播 | 和张杰一起回顾2013苦涩情歌,2025-09-16,69050,203,6,8,60,nan nan nan
61,英国官方榜年中最佳专辑 | 一键锁定2025上半年口碑佳作,2025-07-24,103055,470,10,3,40,nan nan nan
62,欧美热播2012 | 还记得打雷姐那首夏日必听吗,2024-06-20,162290,1122,10,6,45,nan nan nan
63,一个人听粤语 | 独处不孤单 超好听粤语陪你过,2024-03-14,828938,2857,13,10,62,nan nan nan
64,2014伤感热播 | 和林俊杰一起拾起2014遗憾碎片,2025-09-16,72836,629,1,1,60,nan nan nan
65,音综流行热歌 | 薛之谦 平庸 和200首精选音综现场,2020-04-28,22457714,70344,471,145,205,nan nan nan
66,现在就出发 | 快乐旋律伴你奔赴美好,2025-09-30,194578,276,3,4,50,nan nan nan
67,"全球西语趋势 | ROSALÍA,Young Miko领衔带来近期西语热歌",2023-02-06,827344,2917,49,33,80,nan nan nan
68,低倍速热单 | 按下慢速键 感受当下完美时刻,2023-02-14,433409,1529,7,4,60,nan nan nan
69,重返2005 | 跟随王蓉《哎呀》进入2005,2021-07-06,1219217,8764,30,16,110,nan nan nan
70,小清新KPop | 温柔清澈的放松治愈旋律,2025-02-21,73045,544,4,3,70,nan nan nan
71,七夕国风甜恋 | 今朝相执手 祈愿共白头,2024-10-31,39397,1195,5,2,90,nan nan nan
72,记忆之声 | CD里的经典年代,2021-07-06,1696269,9974,56,16,91,nan nan nan
73,西语热浪 | 为你的生活注入热情,2023-02-23,614173,2639,45,13,97,nan nan nan
74,旧日金曲漫步 | 那些年一起听的歌 还记得吗,2019-05-31,6659379,49216,352,633,30,nan nan nan
75,夏日甜品站 | 点击获取糖度满分的夏日甜品菜单,2023-06-21,155547,893,20,3,50,nan nan nan
76,Circle全球流媒年榜 | 席卷全球的中毒旋律APT. 勇夺年冠,2024-04-09,73124,1521,5,3,100,nan nan nan
77,Happy 1980s | 跟着上世纪的节奏摇头晃脑,2023-06-26,131307,788,8,5,60,nan nan nan
78,热力JYP | 潮流回归 pick你的爱豆,2024-04-29,30364,842,2,3,70,nan nan nan
79,宿命感KPop | 直击灵魂 酣畅淋漓的听觉盛宴,2025-03-03,76087,2001,7,3,60,nan nan nan
80,欧美热播2016 | 重温R&B天王The Weeknd崛起时刻,2024-06-20,394823,2281,21,11,61,nan nan nan
81,狂欢时刻 | 用一首歌摆脱丧气,2021-04-07,35215,357,178,4,40,nan nan nan
